"ENGINEERING CUTOFF RANK OF CET-2024 - EXT RND ALLOTMENT ( GENERAL )
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. )",,,,,,,,,,,,,,,,,,,,09-10-24,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,,,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,,GMR,SCG,SCK,SCR,STG,STK,STR,
"AI Artificial
Intelligence",10362,--,--,11146,--,11476,,,12715,--,--,8838,--,--,9285,--,--,7157,8135,,10325,27948,36559,37378,35989,--,49505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Architecture,--,--,--,--,--,--,,,--,--,--,--,--,--,--,--,--,489,--,,--,--,--,--,--,--,--,
CE Civil,98609,--,--,137986,180675,163235,,,207562,--,--,104932,--,107984,100453,--,116277,68573,79728,,93824,123771,138201,152665,108227,124574,123085,
CS Computers,8646,--,13146,7279,8846,8245,,,10578,--,11860,6017,--,6547,6600,11154,7064,4914,7918,,6323,22940,26105,36141,37113,--,43373,
EC Electronics,14612,--,17032,14028,21937,20567,,,16034,--,40511,13656,19963,--,12051,--,13931,9976,15038,,13037,44436,49110,53475,34812,--,37639,
EE Electrical,39563,71156,61832,39832,40667,47781,,,33101,--,--,33695,--,--,33659,--,35222,25367,29180,,29394,75273,84270,109280,57012,--,66517,
IE Info.Science,12586,--,--,8508,--,10046,,,11837,30724,--,8314,--,9527,9246,--,--,6958,9396,,8691,35459,--,44824,36505,--,37241,
ME Mechanical,86588,--,130945,84690,152814,131635,,,107678,--,--,71544,--,74163,68220,98456,80617,56271,67513,,72033,123898,178741,192762,117800,165824,202164,
E002  S K S J T Institute of Engineering.  Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,,,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,,GMR,SCG,SCK,SCR,STG,STK,STR,
CE Civil,181473,--,--,254583,--,--,,,217198,--,--,172568,--,--,188177,--,233219,146642,147790,,181424,188195,245484,212546,185028,--,--,
CS Computers,31182,--,32544,35645,--,41947,,,30184,--,39782,27273,--,35533,28228,33427,--,24048,32706,,31083,53473,--,60322,65492,--,--,
EC Electronics,57018,--,--,54450,--,61870,,,88509,--,--,51238,--,--,50705,--,58542,39290,45452,,48802,97615,--,115444,80136,101532,168488,
ST Silk Tech.,--,--,--,--,--,--,,,--,--,--,--,--,--,--,--,--,268341,--,,--,--,--,--,--,--,--,
TX Textiles,--,--,--,--,--,--,,,--,--,--,--,--,--,--,--,--,272873,--,,--,--,--,--,--,--,--,
"E003  B M S College of Engineering  Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,,,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,,GMR,SCG,SCK,SCR,STG,STK,STR,
CE Civil,62644,--,--,64890,--,71843,,,73226,--,--,57133,--,--,41883,--,65223,37993,53895,,47288,80462,--,116159,94563,116868,123121,
EC Electronics,8704,--,11264,6391,--,6916,,,6731,--,--,6414,--,--,3692,11984,--,2955,7725,,6804,25896,--,35225,32837,--,54873,
EE Electrical,14853,--,49153,30575,32215,32003,,,41064,--,--,30704,--,--,23586,--,51083,12800,25985,,19577,50740,99041,118565,87542,--,--,
"IM Ind. Engg.
Mgmt.",91557,--,--,67754,129565,127372,,,210065,--,--,90420,--,112507,77892,--,--,47265,53636,,81419,151846,139050,188344,191023,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,27614,--,--,38952,--,42973,,,46818,--,--,31120,81676,60273,34678,--,--,23950,47628,,38686,87250,--,124646,114054,--,171095,
E004  Dr. Ambedkar Institute Of Technology  Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,,,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,,GMR,SCG,SCK,SCR,STG,STK,STR,
CE Civil,208304,--,--,222082,--,--,,,269857,--,--,175938,--,--,163208,--,241742,136218,146869,,160183,186919,199885,230345,274567,--,--,
CS Computers,15294,20322,--,17559,--,27732,,,16306,--,--,17579,--,--,14603,--,19595,12255,12334,,13902,37377,--,42928,39630,--,41358,
EC Electronics,42721,--,--,32934,43577,41418,,,43116,--,52075,25563,--,29154,30283,--,35038,24651,27368,,26000,64721,121719,91067,64332,68968,65943,
EE Electrical,47309,--,58473,76907,78413,110761,,,53552,--,--,50230,--,66626,50942,51692,--,43810,50574,,55102,84839,--,110141,99059,--,--,
"EI Elec. Inst.
Engg",144849,--,--,138641,--,--,,,162286,--,--,86461,--,--,90257,--,--,71715,82952,,103648,186103,--,242222,213827,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ET Elec.
Telecommn. Engg.",55027,--,--,92937,--,103820,,,78903,--,--,61269,182314,--,60518,--,--,48800,55768,,55282,115572,--,185160,137771,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IM Ind. Engg.
Mgmt.",--,--,--,218441,--,--,,,192316,--,--,186669,--,--,219241,--,--,179084,--,,225480,270851,--,--,180958,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,146614,--,--,265326,--,--,,,193519,--,--,190901,--,235820,179999,--,--,121030,122309,,145909,253115,--,271186,248342,--,--,
E005  R. V. College of Engineering  Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,,,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,,GMR,SCG,SCK,SCR,STG,STK,STR,
"AI Artificial
Intelligence",--,--,--,--,--,--,,,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT Bio Technology,25508,--,--,23528,94377,160753,,,--,--,--,12521,--,--,14575,--,--,8563,--,,13770,95721,--,180923,45191,--,--,
"CA CS (AI, Machine
Learning)",1856,--,--,2287,--,2556,,,2177,--,--,1640,--,--,1518,--,2313,888,2441,,2085,9060,22097,19186,12978,--,21709,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,58994,--,--,36174,--,53256,,,86550,--,--,--,--,--,17427,49255,--,16279,--,,27460,34913,--,42558,61968,--,--,
CH Chemical,--,210249,--,22267,--,--,,,43596,--,168700,27081,--,--,--,--,--,13853,--,,28478,24059,--,--,65444,--,--,
CS Computers,2410,--,4288,1421,3982,1806,,,1201,--,--,1239,--,1345,1096,--,1165,501,2203,,1130,5143,29723,18988,9438,13393,17200,
"CY CS- Cyber
Security",1652,--,--,3089,--,--,,,2156,25997,--,2001,--,--,1956,--,--,1017,--,,2098,10365,--,38445,12910,--,31510,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS Comp. Sc. Engg-
Data Sc.",2307,--,--,1996,--,5240,,,2077,--,--,1681,--,--,1389,--,--,745,5012,,2155,9135,--,14736,10267,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,3129,--,--,2877,5856,3860,,,3506,--,6095,1968,--,3793,2363,--,3185,1354,4000,,3158,15024,32078,21462,28258,56231,62214,
E005  R. V. College of Engineering  Bangalore,,,,,,,ENGINEERING CUTOFF RANK OF CET-2024 - EXT RND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,09-10-24,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,,,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,,GMR,SCG,SCK,SCR,STG,STK,STR,
EE Electrical,7711,--,14418,8993,--,--,,,8086,--,--,7154,--,22136,6248,--,--,4202,14441,,5851,25484,--,--,23041,--,--,
"EI Elec. Inst.
Engg",--,--,--,--,--,--,,,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ET Elec.
Telecommn. Engg.",5309,--,18144,5769,--,21394,,,15359,--,--,3938,29054,--,4303,--,--,2347,--,,8330,30853,--,--,64616,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,3342,--,--,2492,5079,3284,,,2039,--,--,1808,--,--,1234,--,2042,795,1688,,1653,10354,18206,17001,18937,--,25994,
"IM Ind. Engg.
Mgmt.",27080,--,--,49727,--,109214,,,69096,--,--,23971,--,--,27903,--,--,21255,28983,,35911,64907,--,96205,74755,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
